Unnamed: 0,label,text
0,災害防治,化學槽車灌救完畢後，環保局人員在現場監測
1,災害防治,高雄林園工業區7日凌晨發生火警，一輛化學槽車在灌裝氣體時不慎起火，所幸司機迅速逃離，並無人傷亡
2,災害防治,高雄林園工業區石化一路，凌晨1點多發生化學槽車起火意外，消防局獲報後迅速趕抵現場灌救
3,災害防治,根據了解，起火原因疑似化學槽車正在灌裝易燃氣體氯乙烯時，不慎引起火花導致槽車起火，司機見狀受到驚嚇自行脫困，幸無受傷
4,災害防治,至於化學槽車真正爆炸起火的原因，仍須辨識人員進一步追查
5,災害防治,中壢工業區某科技工廠26日下午發生化學槽車外洩工案意外，消防人員穿防護衣搶救中
6,災害防治,消防局也緊急聯繫環保署環境事故技術小組、市府環保局稽查科等專業人員到場協助鑑定，警消人員在現場以強力水柱噴灑稀釋戒護中，至於化學槽車為何外洩，消防人員將等專業人員到場鑑定事故原因後再行釐清
7,災害防治,邊佳蘭煉油與石化公司是馬來西亞國家石油公司和沙地阿拉伯國家石油公司的策略合作聯營公司，在16日發起聲明表示，目前情勢已經獲得控制，並在第一時間啟動緊急應變小組，將會與有關的單位保持密切的聯繫
8,災害防治,消防當局動員附近消防局的人力及裝備，共出動240多名消防員及38輛消防車，約2小時後，於5時12分撲滅火勢，目前持續處理殘火
9,災害防治,警方及消防當局初步判斷，起火點位於石腦油裂解中心
10,災害防治,消防當局推測，工廠在生產乙烯過程中發生意外，導致爆炸，將了解廠方說法後調查詳細事發原因
11,災害防治,意外發生後，樂天化學已經中斷大山工廠部分作業，製苯的BTX工廠及製造丁二烯的工廠也停工
12,災害防治,爆炸發生當時伴隨巨大晃動，導致附近商家及民宅出現窗戶破裂、外牆剝落等狀況，居民也因為巨響從睡夢中驚醒
13,災害防治,有民眾表示，「就像有飛彈掉下來一樣，總共發生2次爆炸
14,災害防治,我們村裡也有人家裡的屋頂因為爆炸而倒塌，因此受傷，簡直是一團亂
15,災害防治,26日清晨台東市中正路與精誠路口「順蓮」老牌製冰工廠再傳氨氣(阿摩尼亞)外洩，台東縣消防局出動4部化學車及水箱車在現場警戒
16,災害防治,老牌製冰廠上週五21日晚間有大量氨氣外洩，當時消防車對工廠灑水降低濃度後進行止洩
17,災害防治,南韓西南部一條高速公路17日發生30多輛車連環車禍，其中一輛載有1.8萬公升硝酸的油罐車於隧道內翻覆起火，有毒氣體瞬間充斥整個隧道
18,災害防治,此外，事故導致載有1.8萬公升硝酸的油罐車起火燃燒，消防部門派出81輛消防車和200多名消防人員前往現場灌救
19,災害防治,中國大陸遼寧省葫蘆島經濟開發區一間化學工廠11日發生爆炸及火災，共造成5人死亡、10人受傷，3名失蹤者被發現時均已死亡
20,災害防治,根據新華社報導，爆炸發生地點為遼寧先達農業科學有限公司的烯草酮廠房
21,災害防治,桃園市某國中劉姓理化老師今年5月間指導學生使用鋅粉化學實驗，鋅粉扔進垃圾桶卻引發火警
22,災害防治,警方事後查出劉男涉及公共危險，火警燒毀實驗桌與垃圾桶，幸好消防人員及時趕抵撲滅未釀成重大災情，劉男被警方依公共危險罪嫌送辦
23,災害防治,據了解，該輛化學槽車今天上午到台中港西碼頭載運30噸的丙二醇甲醚，要到苗栗送貨，但才開了10多公里就在南橫八路上自撞分隔島翻覆，致丙二醇甲醚外漏及路面有油漬，化學槽車駕駛輕傷，送童綜合醫院急救
24,災害防治,東鏘企業負責人楊世安表示，可能是下午在生產作業時引發火勢，因他不在現場，不是很清楚，確切起火原因要等待調查，至於損失多少，因為起火的廠房是主要產線
25,災害防治,雲林縣環保局表示，該公司為固定源汙染列管場所，為膠帶製造業，主要製程使用有機溶醋酸乙酯、甲苯、丁酮皆為易燃物，已經派員現場稽查及採樣，呼籲斗六民眾外出時做好自我防護
26,災害防治,有學生在做實驗到一半，突然冒煙疑似是氫氟酸（俗稱化骨水）外洩
27,災害防治,警方獲報後不敢大意立刻派人趕到現場，馬上疏散一整層約數百名學生，消防局亦派出化學車前往現場救援，所幸目前暫時沒有人員受困或傷亡
28,災害防治,現場是環境與安全衛生工程系研究室，教室內有學生晚間反應聞到異味，擔心是化骨水（氫氟酸）外洩才急忙通報學校疏散
29,災害防治,消防局晚間8時許確認，冒煙的物質是重鉻酸鉀，經了解是學生在實驗室做實驗，不小心導致重鉻酸鉀冒煙，沒有任何外洩的狀況
30,災害防治,美國德州一座石油化學工廠於27日凌晨1時左右爆炸，相隔12小時後又傳出二度爆炸
31,災害防治,沒想到，大約12小時後又傳出二度爆炸，甚至把一座塔樓噴飛到半空中，熊熊烈火延燒超過17小時，依然無法被撲滅
32,災害防治,位於休士頓郊區的石化廠27日凌晨1時左右第一次爆炸，導致2名員工與1名承包商受傷，內奇斯港也遭到大面積破壞
33,災害防治,第二次爆炸發生在12小時之後，爆破力道讓一座塔樓被拋飛，火球四射，延燒超過17小時
34,災害防治,警長霍姆斯表示，「火勢已經受到控制，不會再往任何地方蔓延，但仍無法被撲滅
35,災害防治,石油化學工廠火勢猛烈，延燒超過17小時
